punto,fecha,CO,NO2,PM10,PM2.5,SO2
CA-ILO-01,2022-01-01,319.17021276595744,7.409999999999999,23.2,17.45714285714286,21.399024390243902
CA-ILO-01,2022-01-02,279.4347826086956,6.58421052631579,15.86,9.85909090909091,69.51249999999999
CA-ILO-01,2022-01-03,277.9767441860465,5.68,12.713043478260868,8.145454545454545,36.87422222222222
CA-ILO-01,2022-01-04,266.9130434782609,8.622727272727273,17.567999999999998,11.660869565217391,22.319555555555556
CA-ILO-01,2022-01-05,266.94,5.970000000000001,17.220833333333335,9.776190476190477,22.355227272727273
CA-ILO-01,2022-01-06,257.56382978723406,4.6625,13.2,8.160869565217391,22.677906976744186
CA-ILO-01,2022-01-07,260.37045454545455,5.264705882352941,13.975000000000001,9.07391304347826,21.621304347826086
CA-ILO-01,2022-01-08,273.8782608695652,7.542105263157896,18.616666666666667,12.276470588235293,36.09627906976744
CA-ILO-01,2022-01-09,280.6021276595745,6.978947368421053,17.44090909090909,10.582608695652175,44.41155555555555
CA-ILO-01,2022-01-10,264.34090909090907,5.933333333333334,23.183333333333334,10.491666666666667,48.171052631578945
CA-ILO-01,2022-01-11,267.2204545454545,5.805555555555555,19.779166666666665,9.170833333333333,21.839750000000002
CA-ILO-01,2022-01-12,264.9909090909091,4.577777777777778,13.334782608695651,7.8136363636363635,18.243488372093022
CA-ILO-01,2022-01-13,267.67954545454546,4.5,14.317391304347826,9.2,21.647105263157897
CA-ILO-01,2022-01-14,286.204347826087,10.19047619047619,20.395652173913042,10.92608695652174,34.37106382978723
CA-ILO-01,2022-01-15,284.93829787234046,8.471428571428572,18.575,10.529166666666667,37.607142857142854
CA-ILO-01,2022-01-16,272.99361702127663,4.800000000000001,15.928571428571429,9.410526315789474,26.294999999999998
CA-ILO-01,2022-01-17,278.3933333333334,5.563157894736842,12.244000000000002,7.166666666666667,30.567674418604653
CA-ILO-01,2022-01-18,268.15909090909093,4.5,12.4,7.080952380952381,17.317027027027027
CA-ILO-01,2022-01-19,262.5711111111111,4.858823529411764,14.182608695652174,7.995,27.490322580645163
CA-ILO-01,2022-01-20,261.37619047619046,4.53125,15.1,7.376190476190477,17.270909090909093
CA-ILO-01,2022-01-21,280.1595744680851,6.890909090909091,15.628,8.972727272727273,17.787142857142857
CA-ILO-01,2022-01-22,272.68666666666667,5.121052631578947,13.445454545454545,6.585714285714286,16.57272727272727
CA-ILO-01,2022-01-23,271.46363636363634,3.9125,10.53,6.595238095238095,16.162903225806453
CA-ILO-01,2022-01-24,280.20425531914896,6.32,13.886363636363637,8.276190476190477,20.836363636363636
CA-ILO-01,2022-01-25,252.05777777777777,5.14,13.512,8.519047619047619,18.17848484848485
CA-ILO-01,2022-01-26,248.60652173913041,6.777777777777778,17.772727272727273,10.747619047619047,22.18764705882353
CA-ILO-01,2022-01-27,230.5222222222222,7.161904761904762,16.756,10.127272727272727,37.84255813953489
CA-ILO-01,2022-01-28,239.9953488372093,9.623809523809523,18.60909090909091,10.384,43.76106382978723
CA-ILO-01,2022-01-29,259.17083333333335,9.281818181818181,17.6875,9.145454545454545,43.127826086956524
CA-ILO-01,2022-01-30,244.20652173913044,4.888235294117647,12.02,6.4,20.82525
CA-ILO-01,2022-01-31,256.22391304347826,6.852380952380953,19.566666666666666,8.8,37.658
CA-ILO-01,2022-02-01,251.4851063829787,5.359090909090909,18.034782608695654,8.40952380952381,26.70951219512195
CA-ILO-01,2022-02-02,252.69111111111113,5.427777777777778,16.320833333333333,8.630434782608695,21.483414634146342
CA-ILO-01,2022-02-03,261.96363636363634,8.265217391304347,18.304347826086957,11.48695652173913,28.313636363636363
CA-ILO-01,2022-02-04,249.65,5.352941176470588,14.30952380952381,8.778947368421052,18.302727272727275
CA-ILO-01,2022-02-05,258.6119047619048,4.486666666666666,14.531818181818181,9.494444444444445,17.223000000000003
CA-ILO-01,2022-02-06,267.3127659574468,5.094736842105263,14.508333333333333,9.522727272727273,37.32128205128205
CA-ILO-01,2022-02-07,286.59555555555556,6.083333333333333,15.252173913043478,8.15,17.919999999999998
CA-ILO-01,2022-02-08,270.1478260869565,5.936842105263158,16.63181818181818,11.295238095238094,16.99388888888889
CA-ILO-01,2022-02-09,250.2977272727273,6.78695652173913,21.333333333333332,13.021739130434783,21.635348837209303
CA-ILO-01,2022-02-10,244.88723404255322,7.826315789473684,18.477272727272727,10.190000000000001,35.61675
CA-ILO-01,2022-02-11,243.7808510638298,7.136363636363637,25.495652173913044,12.181818181818182,27.31923076923077
CA-ILO-01,2022-02-12,239.0590909090909,5.91,17.624000000000002,10.104545454545455,21.590975609756097
CA-ILO-01,2022-02-13,258.00222222222226,7.325,18.044,12.318181818181818,42.68978260869565
